STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     1975;19360101;   5;    7.3;   8.5;   7.7;  998.00;   82.00;-999;    8.8;    5.7;   -999;-999;   0.1;   1;     -999;   0;eor
     1975;19360102;   5;    6.7;   8.1;   7.0;  992.80;   82.00;-999;    9.1;    5.3;   -999;-999;   3.5;   1;     -999;   0;eor
     1975;19360103;   5;    4.4;   8.1;   8.0;  988.30;   95.00;-999;    5.9;    1.5;   -999;-999;   0.8;   1;     -999;   0;eor
     1975;19360104;   5;    4.5;   8.0;   7.7; 1002.70;   95.00;-999;    5.6;    3.0;   -999;-999;   0.7;   1;     -999;   0;eor
     1975;19360105;   5;    2.6;   6.8;   3.3; 1012.30;   93.00;-999;    4.3;    0.0;   -999;-999;   0.0;   1;     -999;   0;eor
     1975;19360106;   5;    2.2;   6.1;   6.3; 1002.40;   85.00;-999;    3.2;    0.5;   -999;-999;   1.2;   8;     -999;   0;eor
     1975;19360107;   5;    4.6;   7.3;   7.3; 1001.80;   85.00;-999;    6.1;    2.1;   -999;-999;   1.7;   1;     -999;   0;eor
     1975;19360108;   5;    5.7;   8.4;   7.3; 1003.20;   92.00;-999;    7.2;    3.6;   -999;-999;   5.1;   1;     -999;   0;eor
     1975;19360109;   5;    7.1;   9.3;   7.7; 1004.70;   93.00;-999;    8.5;    5.0;   -999;-999;   6.1;   1;     -999;   0;eor
     1975;19360110;   5;   10.8;  10.7;   7.0;  996.40;   81.00;-999;   11.9;    7.6;   -999;-999;  13.0;   1;     -999;   0;eor
     1975;19360111;   5;    4.6;   7.9;   8.0; 1004.40;   87.00;-999;   10.2;    1.6;   -999;-999;  13.8;   1;     -999;   0;eor
     1975;19360112;   5;    2.5;   6.1;   1.7; 1015.40;   83.00;-999;    5.0;    0.8;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360113;   5;    1.4;   6.0;   6.0; 1012.20;   87.00;-999;    4.5;    0.0;   -999;-999;   3.8;   8;     -999;   0;eor
     1975;19360114;   5;    0.8;   5.9;   4.0; 1012.60;   91.00;-999;    3.5;   -2.0;   -999;-999;   1.2;   7;     -999;   2;eor
     1975;19360115;   5;    0.5;   5.6;   3.3; 1016.30;   86.00;-999;    3.3;   -1.2;   -999;-999;   0.0;   0;     -999;   1;eor
     1975;19360116;   5;    0.1;   4.9;   6.0; 1007.10;   82.00;-999;    1.0;   -1.0;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360117;   5;    0.4;   6.0;   8.0;  986.00;   94.00;-999;    2.5;   -1.0;   -999;-999;   9.9;   8;     -999;   0;eor
     1975;19360118;   5;    0.0;   5.6;   7.0;  991.50;   92.00;-999;    1.3;   -2.9;   -999;-999;   0.6;   8;     -999;   3;eor
     1975;19360119;   5;   -0.9;   5.3;   3.3;  998.30;   89.00;-999;    1.1;   -3.0;   -999;-999;   0.0;   0;     -999;   7;eor
     1975;19360120;   5;    2.1;   6.1;   4.3;  991.60;   89.00;-999;    3.5;   -2.5;   -999;-999;   1.0;   1;     -999;   6;eor
     1975;19360121;   5;    5.1;   7.1;   6.3;  989.90;   77.00;-999;    7.8;    3.3;   -999;-999;   5.5;   1;     -999;   0;eor
     1975;19360122;   5;    2.4;   6.5;   6.0;  994.60;   89.00;-999;    3.6;    1.4;   -999;-999;   1.2;   1;     -999;   0;eor
     1975;19360123;   5;    2.2;   6.5;   7.7;  998.60;   94.00;-999;    3.5;   -0.1;   -999;-999;   3.4;   8;     -999;   0;eor
     1975;19360124;   5;    2.4;   6.8;   7.3; 1003.90;   92.00;-999;    4.0;    1.3;   -999;-999;   0.1;   1;     -999;   0;eor
     1975;19360125;   5;    2.1;   6.4;   6.7; 1001.50;   89.00;-999;    3.3;    0.0;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360126;   5;    4.2;   7.5;   7.3;  997.20;   93.00;-999;    6.4;    1.4;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360127;   5;    4.8;   7.9;   8.0;  999.80;   91.00;-999;    5.7;    3.2;   -999;-999;   0.1;   1;     -999;   0;eor
     1975;19360128;   5;    5.2;   8.1;   8.0; 1000.00;   93.00;-999;    7.1;    1.7;   -999;-999;   3.2;   1;     -999;   0;eor
     1975;19360129;   5;    6.7;   8.9;   7.7;  994.80;   91.00;-999;    8.5;    5.0;   -999;-999;   0.6;   1;     -999;   0;eor
     1975;19360130;   5;    5.5;   8.0;   5.7; 1002.00;   87.00;-999;    7.3;    3.7;   -999;-999;   0.2;   1;     -999;   0;eor
     1975;19360131;   5;    4.6;   7.7;   7.3;  991.80;   90.00;-999;    6.3;    2.5;   -999;-999;   5.8;   1;     -999;   0;eor
     1975;19360201;   5;    6.1;   8.5;   7.3;  987.60;   91.00;-999;    7.1;    4.8;   -999;-999;   4.7;   1;     -999;   0;eor
     1975;19360202;   5;    5.1;   8.5;   8.0;  978.70;   96.00;-999;    6.2;    4.0;   -999;-999;   9.0;   1;     -999;   0;eor
     1975;19360203;   5;    2.7;   6.8;   7.7;  988.30;   91.00;-999;    4.4;    1.0;   -999;-999;   2.9;   8;     -999;   0;eor
     1975;19360204;   5;    1.7;   6.0;   4.0; 1004.80;   87.00;-999;    5.3;    0.0;   -999;-999;   5.0;   7;     -999;   0;eor
     1975;19360205;   5;   -0.8;   5.5;   1.7; 1017.10;   92.00;-999;    2.8;   -2.1;   -999;-999;   0.5;   1;     -999;   0;eor
     1975;19360206;   5;   -2.0;   4.5;   3.0; 1029.60;   83.00;-999;    1.5;   -3.7;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360207;   5;   -2.3;   3.6;   0.3; 1034.20;   72.00;-999;    1.2;   -5.6;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360208;   5;   -2.2;   4.4;   4.0; 1026.40;   85.00;-999;    2.0;   -8.0;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360209;   5;   -0.9;   4.9;   6.7; 1015.40;   83.00;-999;    2.2;   -3.2;   -999;-999;   0.0;   1;     -999;   0;eor
     1975;19360210;   5;   -6.6;   2.7;   2.0; 1022.60;   69.00;-999;   -2.5;   -8.5;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360211;   5;   -3.8;   3.5;   7.0; 1013.90;   76.00;-999;   -1.8;   -8.4;   -999;-999;   0.0;   7;     -999;   0;eor
     1975;19360212;   5;    2.3;   6.5;   7.7; 1011.40;   90.00;-999;    3.6;    0.0;   -999;-999;   1.7;   1;     -999;   0;eor
     1975;19360213;   5;    2.6;   6.5;   6.7; 1014.30;   87.00;-999;    4.7;    1.3;   -999;-999;   0.3;   1;     -999;   0;eor
     1975;19360214;   5;    0.4;   4.7;   5.0; 1014.00;   71.00;-999;    3.6;   -1.0;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360215;   5;   -1.6;   3.7;   7.7; 1005.40;   71.00;-999;   -0.2;   -3.2;   -999;-999;  10.8;   1;     -999;   0;eor
     1975;19360216;   5;    1.6;   6.5;   8.0;  995.60;   97.00;-999;    3.0;   -1.5;   -999;-999;   3.2;   1;     -999;   0;eor
     1975;19360217;   5;    1.8;   6.8;   8.0; 1000.40;   97.00;-999;    2.5;    1.2;   -999;-999;   0.1;   1;     -999;   0;eor
     1975;19360218;   5;    2.6;   6.9;   8.0; 1001.40;   94.00;-999;    3.2;    1.2;   -999;-999;   7.8;   1;     -999;   0;eor
     1975;19360219;   5;    2.5;   7.1;   8.0;  999.00;   96.00;-999;    3.1;    1.5;   -999;-999;   1.7;   1;     -999;   0;eor
     1975;19360220;   5;   -0.2;   5.9;   8.0; 1007.20;   96.00;-999;    2.7;   -0.9;   -999;-999;   8.7;   1;     -999;   0;eor
     1975;19360221;   5;   -3.8;   4.4;   8.0; 1014.40;   91.00;-999;   -0.9;   -4.8;   -999;-999;   0.0;   7;     -999;   0;eor
     1975;19360222;   5;   -4.2;   3.7;   5.0; 1006.00;   83.00;-999;   -1.8;   -6.4;   -999;-999;   1.0;   1;     -999;   0;eor
     1975;19360223;   5;   -1.2;   5.2;   8.0;  998.80;   92.00;-999;   -0.1;   -4.1;   -999;-999;   0.5;   8;     -999;   0;eor
     1975;19360224;   5;    0.6;   5.9;   8.0; 1003.00;   93.00;-999;    1.3;   -1.1;   -999;-999;   1.1;   7;     -999;   0;eor
     1975;19360225;   5;   -1.0;   5.3;   8.0; 1010.70;   93.00;-999;    1.2;   -1.5;   -999;-999;   3.5;   7;     -999;   1;eor
     1975;19360226;   5;   -1.4;   4.9;   8.0; 1011.60;   90.00;-999;   -0.6;   -2.4;   -999;-999;   0.0;   0;     -999;   8;eor
     1975;19360227;   5;    1.0;   5.6;   7.7; 1004.70;   86.00;-999;    2.4;   -1.2;   -999;-999;   0.0;   7;     -999;   4;eor
     1975;19360228;   5;    1.3;   6.0;   6.7;  991.00;   90.00;-999;    1.8;    0.0;   -999;-999;  11.9;   8;     -999;   0;eor
     1975;19360229;   5;    1.6;   6.0;   5.3;  982.70;   88.00;-999;    3.7;    0.3;   -999;-999;   0.3;   1;     -999;   4;eor
     1975;19360301;   5;    3.0;   6.5;   3.3;  991.00;   82.00;-999;    7.6;    0.3;   -999;-999;   0.0;   0;     -999;   2;eor
     1975;19360302;   5;    2.3;   6.4;   4.3;  999.50;   87.00;-999;    7.5;   -0.8;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360303;   5;    1.4;   6.5;   7.7; 1007.50;   97.00;-999;    2.7;   -0.4;   -999;-999;   0.2;   1;     -999;   0;eor
     1975;19360304;   5;    2.4;   6.8;   8.0; 1011.00;   93.00;-999;    4.5;    0.6;   -999;-999;   0.1;   1;     -999;   0;eor
     1975;19360305;   5;    2.4;   6.9;   8.0; 1007.50;   96.00;-999;    3.4;    1.6;   -999;-999;   0.1;   1;     -999;   0;eor
     1975;19360306;   5;    2.6;   7.2;   8.0; 1008.20;   96.00;-999;    4.5;    1.0;   -999;-999;   1.0;   1;     -999;   0;eor
     1975;19360307;   5;    2.2;   6.5;   8.0; 1015.90;   92.00;-999;    3.1;    1.1;   -999;-999;   0.0;   1;     -999;   0;eor
     1975;19360308;   5;    1.2;   6.1;   8.0; 1017.80;   94.00;-999;    2.4;   -1.1;   -999;-999;   0.4;   1;     -999;   0;eor
     1975;19360309;   5;    1.8;   6.7;   7.7; 1012.20;   93.00;-999;    5.2;    0.6;   -999;-999;   0.2;   1;     -999;   0;eor
     1975;19360310;   5;    2.3;   6.5;   8.0; 1012.00;   90.00;-999;    5.0;   -0.8;   -999;-999;   2.4;   1;     -999;   0;eor
     1975;19360311;   5;    1.6;   6.1;   8.0; 1007.10;   90.00;-999;    2.6;    0.6;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360312;   5;    0.8;   5.2;   7.3; 1011.40;   79.00;-999;    4.3;   -0.8;   -999;-999;   0.0;   1;     -999;   0;eor
     1975;19360313;   5;    0.3;   5.3;   8.0; 1013.40;   85.00;-999;    1.4;   -1.0;   -999;-999;   0.0;   1;     -999;   0;eor
     1975;19360314;   5;    0.9;   5.5;   6.0; 1017.10;   84.00;-999;    2.3;   -0.5;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360315;   5;    1.9;   5.7;   8.0; 1014.70;   80.00;-999;    4.0;   -1.0;   -999;-999;   1.0;   1;     -999;   0;eor
     1975;19360316;   5;    1.4;   5.3;   2.7; 1015.00;   78.00;-999;    5.8;   -0.9;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360317;   5;    4.0;   6.4;   7.0; 1021.00;   81.00;-999;    6.5;   -2.0;   -999;-999;   0.2;   1;     -999;   0;eor
     1975;19360318;   5;    7.5;   8.0;   7.7; 1021.60;   78.00;-999;   10.5;    3.4;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360319;   5;    8.2;   7.6;   3.0; 1019.00;   70.00;-999;   14.0;    4.0;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360320;   5;    9.4;   6.7;   1.3; 1017.50;   61.00;-999;   16.5;    1.9;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360321;   5;    7.4;   8.3;   2.7; 1016.20;   82.00;-999;   13.4;    3.4;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360322;   5;   10.3;   7.9;   0.0; 1009.20;   66.00;-999;   19.0;    2.6;   -999;-999;   0.0;   1;     -999;   0;eor
     1975;19360323;   5;   10.0;   7.9;   3.3; 1006.40;   67.00;-999;   16.6;    3.3;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360324;   5;    5.3;   7.9;   4.7; 1011.00;   86.00;-999;   10.0;    3.5;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360325;   5;    4.7;   7.9;   8.0; 1012.20;   93.00;-999;    5.7;    2.2;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360326;   5;    5.0;   7.6;   5.3; 1008.60;   84.00;-999;    8.6;    2.6;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360327;   5;    7.1;   8.0;   8.0; 1012.60;   81.00;-999;    9.5;    2.7;   -999;-999;   0.0;   0;     -999;   0;eor
     1975;19360328;   5;    5.6;   7.5;   8.0; 1015.60;   82.00;-999;    7.6;    4.6;   -999;-999;   0.4;   1;     -999;   0;eor
     1975;19360329;   5;    9.2;   8.9;   4.7; 1013.40;   79.00;-999;   14.0;    1.5;   -999;-999;   0.3;   1;     -999;   0;eor
     1975;19360330;   5;    9.5;  11.2;   7.3; 1008.30;   91.00;-999;   14.0;    8.2;   -999;-999;   4.7;   1;     -999;   0;eor
     1975;19360331;   5;   10.9;  11.1;   6.7; 1008.80;   83.00;-999;   14.5;    7.4;   -999;-999;   2.0;   1;     -999;   0;eor
     1975;19360401;   5;   10.6;   9.7;   5.0; 1008.40;   77.00;-999;   14.6;    8.6;   -999;-999;   1.5;   1;     -999;   0;eor
     1975;19360402;   5;    7.4;   9.9;   8.0; 1008.30;   94.00;-999;    9.7;    5.7;   -999;-999;   6.5;   1;     -999;   0;eor
     1975;19360403;   5;    4.5;   7.1;   7.3; 1014.80;   83.00;-999;    8.0;    1.7;   -999;-999;   0.0;   1;     -999;   0;eor
