STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      433;19480101;   5;   -1.8;   4.9;   5.0; 1010.70;   89.00;-999;    0.8;   -5.0;   -4.7;-999;   2.9;   7;     -999;   4;eor
      433;19480102;   5;    4.4;   7.9;   8.0;  999.70;   95.00;-999;    6.8;   -2.7;   -2.5;-999;   5.7;   8;     -999;   8;eor
      433;19480103;   5;    8.5;   9.8;   5.3; 1001.70;   86.00;-999;   10.6;    5.2;    4.6;-999;   3.3;   1;     -999;   0;eor
      433;19480104;   5;   10.2;  10.2;   8.0;  999.80;   83.00;-999;   11.5;    6.6;    4.7;-999;   4.0;   1;     -999;   0;eor
      433;19480105;   5;   10.5;   9.8;   7.7;  987.80;   78.00;-999;   12.0;    8.0;    5.9;-999;   0.2;   1;     -999;   0;eor
      433;19480106;   5;    3.3;   6.0;   4.7;  993.60;   75.00;-999;   10.8;    1.8;    2.9;-999;   2.0;   1;     -999;   0;eor
      433;19480107;   5;    2.9;   6.9;   8.0;  980.90;   96.00;-999;    5.2;   -0.9;   -2.0;-999;   0.0;   0;     -999;   0;eor
      433;19480108;   5;    6.2;   7.3;   5.3;  978.40;   74.00;-999;    9.5;    4.7;    4.0;-999;   1.5;   1;     -999;   0;eor
      433;19480109;   5;    0.4;   5.5;   6.0;  997.50;   86.00;-999;    4.7;   -0.2;   -2.2;-999;   7.8;   8;     -999;   0;eor
      433;19480110;   5;    0.7;   6.1;   7.3;  992.50;   92.00;-999;    3.0;   -1.2;   -3.0;-999;   2.1;   7;     -999;   0;eor
      433;19480111;   5;   -3.0;   3.8;   5.0; 1011.30;   79.00;-999;   -0.1;   -4.9;   -6.1;-999;   8.4;   8;     -999;   1;eor
      433;19480112;   5;    3.8;   6.8;   7.0; 1000.40;   85.00;-999;    7.0;   -2.8;   -4.0;-999;   0.0;   7;     -999;   1;eor
      433;19480113;   5;    9.3;  10.3;   8.0;  988.10;   92.00;-999;   11.4;    4.2;    4.1;-999;   8.5;   1;     -999;   0;eor
      433;19480114;   5;    5.7;   7.5;   7.3;  991.80;   80.00;-999;   11.9;    4.2;    4.8;-999;  33.4;   1;     -999;   0;eor
      433;19480115;   5;    0.5;   5.7;   8.0;  997.40;   87.00;-999;    4.6;   -0.9;    1.0;-999;   3.8;   1;     -999;   0;eor
      433;19480116;   5;   -1.7;   4.1;   8.0; 1003.30;   74.00;-999;    0.2;   -2.3;   -3.2;-999;   0.4;   8;     -999;   1;eor
      433;19480117;   5;   -2.8;   4.4;   7.0; 1005.00;   90.00;-999;   -1.6;   -4.7;   -5.7;-999;   0.7;   7;     -999;   1;eor
      433;19480118;   5;    0.7;   5.6;   4.7;  991.60;   88.00;-999;    2.5;   -2.5;   -5.0;-999;   0.0;   0;     -999;   2;eor
      433;19480119;   5;    0.0;   5.7;   2.7;  988.90;   92.00;-999;    2.7;   -0.7;   -3.6;-999;   3.9;   7;     -999;   0;eor
