STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     1303;19350101;   5;    7.1;   9.6;   7.7; 1003.80;   94.00;-999;    8.2;    6.4;   -999;-999;   6.2;   1;     -999;-999;eor
     1303;19350102;   5;    6.1;   8.8;   8.0; 1012.00;   93.00;-999;    6.9;    5.4;   -999;-999;   0.1;   1;     -999;-999;eor
     1303;19350103;   5;    5.3;   8.5;   8.0; 1014.80;   96.00;-999;    6.3;    2.1;   -999;-999;   2.9;   1;     -999;-999;eor
     1303;19350104;   5;    5.6;   8.7;   8.0;  997.60;   93.00;-999;    7.5;    4.4;   -999;-999;   6.2;   1;     -999;-999;eor
     1303;19350105;   5;    3.6;   7.3;   7.7;  991.80;   91.00;-999;    5.0;    3.0;   -999;-999;   4.8;   1;     -999;-999;eor
     1303;19350106;   5;    2.2;   6.5;   8.0;  993.00;   90.00;-999;    3.4;    1.5;   -999;-999;   2.2;   7;     -999;-999;eor
     1303;19350107;   5;    1.2;   6.3;   8.0; 1002.60;   94.00;-999;    2.7;   -0.6;   -999;-999;   1.0;   7;     -999;-999;eor
     1303;19350108;   5;   -1.2;   4.5;   8.0; 1009.40;   81.00;-999;    2.0;   -1.9;   -999;-999;   0.0;   0;     -999;-999;eor
     1303;19350109;   5;   -2.9;   4.1;   8.0; 1014.00;   82.00;-999;   -1.5;   -3.5;   -999;-999;   0.0;   0;     -999;-999;eor
     1303;19350110;   5;   -2.4;   4.4;   7.7; 1018.70;   87.00;-999;   -1.2;   -5.2;   -999;-999;   0.0;   0;     -999;-999;eor
     1303;19350111;   5;   -0.6;   5.1;   8.0; 1012.40;   86.00;-999;    1.2;   -1.8;   -999;-999;   0.0;   0;     -999;-999;eor
     1303;19350112;   5;   -0.3;   5.6;   8.0;  993.00;   94.00;-999;    0.7;   -3.0;   -999;-999;   0.5;   7;     -999;-999;eor
     1303;19350113;   5;    0.8;   6.1;   8.0;  995.50;   95.00;-999;    1.8;   -0.5;   -999;-999;   1.0;   7;     -999;-999;eor
     1303;19350114;   5;    0.9;   6.4;   8.0;  998.30;   99.00;-999;    2.4;    0.0;   -999;-999;   1.9;   7;     -999;-999;eor
     1303;19350115;   5;    2.0;   6.5;   7.7; 1013.60;   93.00;-999;    3.2;    0.2;   -999;-999;   1.3;   1;     -999;-999;eor
     1303;19350116;   5;    5.9;   9.1;   8.0; 1018.20;   99.00;-999;    6.2;    2.2;   -999;-999;   1.2;   1;     -999;-999;eor
     1303;19350117;   5;    5.2;   7.9;   7.0; 1013.50;   89.00;-999;    6.2;    4.2;   -999;-999;   1.0;   1;     -999;-999;eor
     1303;19350118;   5;   -0.6;   4.9;   4.0; 1019.90;   83.00;-999;    4.8;   -1.8;   -999;-999;   0.0;   0;     -999;-999;eor
