1,E,19
2,E,19
3,E,19
4,E,19
5,E,19
6,E,19
7,B,95
7,E,285
8,E,141
8,F,47
9,E,129
9,F,43
10,E,179
10,F,59
11,E,141
11,F,47
12,E,285
12,F,95
13,E,89
13,F,29
15,E,129
15,F,43
16,E,129
16,F,43
17,E,141
17,F,47
18,E,141
18,F,47
19,E,141
19,F,47
20,E,129
20,F,43
21,E,129
21,F,43
22,E,285
22,F,95
23,E,129
23,F,43
24,E,141
24,F,47
25,E,141
25,F,47
26,E,141
26,F,47
27,E,89
27,F,29
28,E,129
28,F,43
29,E,141
29,F,47
30,E,179
30,F,59
31,E,141
31,F,47
32,E,129
32,F,43
33,E,141
33,F,47
34,E,141
34,F,47
35,E,141
35,F,47
36,E,179
36,F,59
37,E,129
37,F,43
38,E,141
38,F,47
39,E,129
39,F,43
40,E,129
40,F,43
41,E,141
41,F,47
42,E,129
42,F,43
43,E,129
43,F,43
44,E,285
44,F,95
45,E,141
45,F,47
46,E,285
46,F,95
47,E,141
47,F,47
48,E,129
48,F,43
49,E,129
49,F,43
50,E,129
50,F,43
51,E,129
51,F,43
52,E,129
52,F,43
53,E,129
53,F,43
54,E,217
54,F,72
55,E,179
55,F,59
56,E,141
56,F,47
57,E,129
57,F,43
58,E,129
58,F,43
59,E,129
59,F,43
60,E,141
60,F,47
61,E,129
61,F,43
62,E,129
62,F,43
63,E,129
63,F,43
64,E,129
64,F,43
65,E,129
65,F,43
66,E,129
66,F,43
67,E,141
67,F,47
68,E,129
68,F,43
69,E,129
69,F,43
70,E,129
70,F,43
71,E,89
71,F,29
72,B,95
72,E,285
73,E,129
73,F,43
74,E,129
74,F,43
75,E,179
75,F,59
76,E,89
76,F,29
77,E,217
77,F,72
78,E,129
78,F,43
79,E,129
79,F,43
80,E,129
80,F,43
81,E,129
81,F,43
82,E,129
82,F,43
83,E,129
83,F,43
84,E,179
84,F,59
85,E,129
85,F,43
86,E,129
86,F,43
87,E,129
87,F,43
88,E,141
88,F,47
89,E,129
89,F,43
90,E,141
90,F,47
91,E,129
91,F,43
92,E,129
92,F,43
93,E,129
93,F,43
94,E,285
94,F,95
95,E,285
95,F,95
96,E,129
96,F,43
97,E,129
97,F,43
98,E,141
98,F,47
99,E,129
99,F,43
100,E,179
100,F,59
101,E,129
101,F,43
102,E,129
102,F,43
103,E,141
103,F,47
104,E,217
104,F,72
105,E,179
105,F,59
106,E,129
106,F,43
107,E,129
107,F,43
108,E,129
108,F,43
109,E,129
109,F,43
110,E,179
110,F,59
111,E,129
111,F,43
112,E,141
112,F,47
113,E,129
113,F,43
114,E,129
114,F,43
115,E,141
115,F,47
116,E,141
116,F,47
117,E,129
117,F,43
118,E,129
118,F,43
119,E,129
119,F,43
120,E,129
120,F,43
121,E,129
121,F,43
122,E,285
122,F,95
123,E,141
123,F,47
124,E,129
124,F,43
125,E,129
125,F,43
126,E,129
126,F,43
127,E,129
127,F,43
128,E,141
128,F,47
129,E,129
129,F,43
130,E,89
130,F,29
131,E,89
131,F,29
132,E,141
132,F,47
133,E,129
133,F,43
134,E,141
134,F,47
135,E,129
135,F,43
136,E,179
136,F,59
137,E,141
137,F,47
138,E,179
138,F,59
139,E,179
139,F,59
140,E,141
140,F,47
141,E,129
141,F,43
142,E,285
142,F,95
143,E,129
143,F,43
144,E,141
144,F,47
145,E,129
145,F,43
146,E,129
146,F,43
147,E,129
147,F,43
148,E,179
148,F,59
149,E,129
149,F,43
150,E,129
150,F,43
151,E,129
151,F,43
152,E,129
152,F,43
153,E,129
153,F,43
154,E,129
154,F,43
155,E,179
155,F,59
156,E,281
156,F,93
157,E,129
157,F,43
158,E,179
158,F,59
159,E,89
159,F,29
160,E,129
160,F,43
161,E,129
161,F,43
162,E,129
162,F,43
163,E,285
163,F,95
164,E,129
164,F,43
165,E,141
165,F,47
166,E,141
166,F,47
167,E,285
167,F,95
168,E,141
168,F,47
169,E,141
169,F,47
170,E,89
170,F,29
171,E,141
171,F,47
172,E,129
172,F,43
173,E,141
173,F,47
174,E,129
174,F,43
175,E,129
175,F,43
176,E,285
176,F,95
177,E,141
177,F,47
178,E,129
178,F,43
179,E,89
179,F,29
180,E,141
180,F,47
181,E,141
181,F,47
182,E,129
182,F,43
183,E,129
183,F,43
184,E,141
184,F,47
185,E,141
185,F,47
186,E,141
186,F,47
187,E,141
187,F,47
188,E,179
188,F,59
189,E,129
189,F,43
190,E,141
190,F,47
191,E,129
191,F,43
192,E,141
192,F,47
193,E,129
193,F,43
194,E,141
194,F,47
195,E,129
195,F,43
196,E,129
196,F,43
197,E,129
197,F,43
198,E,141
198,F,47
199,E,129
199,F,43
200,E,129
200,F,43
201,E,129
201,F,43
202,E,129
202,F,43
203,E,285
203,F,95
204,E,129
204,F,43
205,E,141
205,F,47
206,E,129
206,F,43
207,E,129
207,F,43
208,E,129
208,F,43
209,E,129
209,F,43
210,E,141
210,F,47
211,E,129
211,F,43
212,E,129
212,F,43
213,E,129
213,F,43
214,E,129
214,F,43
215,E,129
215,F,43
216,E,141
216,F,47
217,E,129
217,F,43
218,E,89
218,F,29
219,E,129
219,F,43
220,E,141
220,F,47
221,E,129
221,F,43
222,E,141
222,F,47
223,E,141
223,F,47
224,E,141
224,F,47
225,E,129
225,F,43
226,E,285
226,F,95
227,E,129
227,F,43
228,E,129
228,F,43
229,E,141
229,F,47
230,E,129
230,F,43
231,E,141
231,F,47
232,E,129
232,F,43
233,E,141
233,F,47
234,E,129
234,F,43
235,E,129
235,F,43
236,E,141
236,F,47
237,E,285
237,F,95
238,E,285
238,F,95
239,E,129
239,F,43
240,E,129
240,F,43
241,E,129
241,F,43
242,E,285
242,F,95
243,E,129
243,F,43
244,E,285
244,F,95
245,E,129
245,F,43
246,E,141
246,F,47
247,E,141
247,F,47
248,E,129
248,F,43
249,E,141
249,F,47
250,E,285
250,F,95
251,E,141
251,F,47
252,E,89
252,F,29
253,E,129
253,F,43
254,E,141
254,F,47
255,E,141
255,F,47
256,E,129
256,F,43
257,E,141
257,F,47
258,E,129
258,F,43
259,E,129
259,F,43
260,E,129
260,F,43
261,E,129
261,F,43
262,E,129
262,F,43
263,E,141
263,F,47
264,E,285
264,F,95
265,E,141
265,F,47
266,E,285
266,F,95
267,E,141
267,F,47
268,E,129
268,F,43
269,E,129
269,F,43
270,E,141
270,F,47
271,E,141
271,F,47
272,E,89
272,F,29
273,E,141
273,F,47
274,E,129
274,F,43
275,E,179
275,F,59
276,E,129
276,F,43
277,E,141
277,F,47
278,E,281
278,F,93
279,E,141
279,F,47
280,E,129
280,F,43
281,E,217
281,F,72
282,E,141
282,F,47
283,E,129
283,F,43
284,E,141
284,F,47
285,E,129
285,F,43
286,E,129
286,F,43
287,E,129
287,F,43
288,E,217
288,F,72
289,E,285
289,F,95
290,E,217
290,F,72
291,E,129
291,F,43
292,E,129
292,F,43
293,E,89
293,F,29
294,E,141
294,F,47
295,E,129
295,F,43
296,E,129
296,F,43
297,E,129
297,F,43
298,E,300
298,F,100
299,E,141
299,F,47
300,E,141
300,F,47
301,E,141
301,F,47
302,E,141
302,F,47
303,E,179
303,F,59
304,E,129
304,F,43
305,E,129
305,F,43
306,E,129
306,F,43
307,E,141
307,F,47
308,E,129
308,F,43
309,E,129
309,F,43
310,E,129
310,F,43
311,E,129
311,F,43
312,E,141
